Job_ID,Job_Title,Company,Location,Salary,Experience,Skills,Education,Job_Type,Posted_Days_Ago,Applicants,Rating,Department,Industry,Status
1,Data Scientist     ,VisionData  ,Indore    ,819200,Fresher,"Python, Tableau, Excel                                        ",B.Tech,Internship,59,258,4.0,Data Engineering,Finance   ,On Hold
4,Business Analyst   ,AnalyticsHub,Pune      ,918400,2-5    ,"Machine Learning, Power BI, Azure, Statistics, SQL, Pandas    ",MCA   ,Contract  ,163,352,3.9,AI              ,IT        ,Open   
8,Data Engineer      ,SmartSoft   ,Indore    ,976200,Fresher,"Statistics, Excel, Power BI, NumPy, SQL                       ",BSc   ,Contract  ,61,29,3.1,Data Engineering,IT        ,Open   
11,Data Scientist     ,DataCorp    ,Delhi     ,1085800,1-3    ,"Azure, NumPy, Excel, Pandas                                   ",MCA   ,Remote    ,119,442,4.3,Analytics       ,IT        ,Closed 
12,BI Developer       ,SmartSoft   ,Hyderabad ,648000,Fresher,"SQL, Excel, Statistics, Azure, Tableau                        ",B.Tech,Remote    ,140,50,2.6,Data Engineering,IT        ,Open   
13,Business Analyst   ,VisionData  ,Indore    ,985600,2-5    ,"Power BI, Pandas, NumPy, Excel                                ",BSc   ,Remote    ,73,216,4.2,Data Engineering,Retail    ,Open   
15,Data Scientist     ,VisionData  ,Mumbai    ,1097300,1-3    ,"Excel, Pandas, SQL                                            ",BCA   ,Contract  ,61,135,3.5,AI              ,Retail    ,Closed 
17,Business Analyst   ,FutureAI    ,Bengaluru ,1119000,3-6    ,"Statistics, Tableau, SQL                                      ",BCA   ,Contract  ,52,351,4.1,AI              ,E-commerce,Closed 
19,Data Engineer      ,AnalyticsHub,Hyderabad ,1504500,5+     ,"Azure, Statistics, Power BI, Excel, SQL                       ",B.Tech,Contract  ,143,452,4.7,Data Engineering,Finance   ,Open   
21,BI Developer       ,ByteWorks   ,Delhi     ,1313300,5+     ,"Machine Learning, Tableau, Excel, SQL, Python, Pandas         ",M.Tech,Contract  ,7,59,4.7,AI              ,Finance   ,On Hold
25,ML Engineer        ,SmartSoft   ,Bhopal    ,719100,2-5    ,"Excel, Tableau, Azure                                         ",MCA   ,Internship,178,196,3.7,IT              ,Finance   ,On Hold
30,Data Scientist     ,VisionData  ,Pune      ,882400,Fresher,"Azure, Statistics, Python, Excel                              ",MCA   ,Internship,12,133,3.4,IT              ,Retail    ,Closed 
35,SQL Developer      ,AnalyticsHub,Mumbai    ,880900,Fresher,"NumPy, Pandas, Machine Learning, Python                       ",BSc   ,Contract  ,71,450,4.0,AI              ,E-commerce,Open   
38,BI Developer       ,TechNova    ,Indore    ,925900,3-6    ,"SQL, Excel, Tableau, Azure, Power BI                          ",BSc   ,Internship,163,444,4.4,Analytics       ,IT        ,On Hold
41,Power BI Developer ,SmartSoft   ,Chennai   ,698000,1-3    ,"Power BI, Excel, Azure                                        ",B.Tech,Internship,73,361,3.2,Business        ,IT        ,On Hold
42,BI Developer       ,InsightIQ   ,Bhopal    ,759400,Fresher,"Tableau, Excel, Pandas, Python                                ",BCA   ,Contract  ,152,383,4.6,AI              ,Retail    ,Open   
43,Power BI Developer ,ByteWorks   ,Bengaluru ,603000,Fresher,"Tableau, Pandas, Azure, NumPy, Statistics, Excel              ",B.Tech,Internship,172,428,4.7,Data Engineering,IT        ,On Hold
46,BI Developer       ,SmartSoft   ,Chennai   ,720200,Fresher,"Azure, NumPy, Statistics, Pandas, Python                      ",B.Tech,Internship,40,159,3.9,Data Engineering,Retail    ,Open   
48,BI Developer       ,FutureAI    ,Chennai   ,658100,Fresher,"SQL, Tableau, Pandas, Power BI                                ",BCA   ,Remote    ,137,247,3.4,Data Engineering,E-commerce,Closed 
51,Data Scientist     ,SmartSoft   ,Pune      ,1458700,5+     ,"Excel, Tableau, Azure                                         ",BSc   ,Full Time ,11,166,4.5,AI              ,Healthcare,Closed 
54,SQL Developer      ,FutureAI    ,Hyderabad ,876500,3-6    ,"Python, Pandas, Tableau, Azure, NumPy                         ",BSc   ,Internship,162,97,4.1,IT              ,IT        ,On Hold
55,Data Scientist     ,FutureAI    ,Mumbai    ,1363700,5+     ,"Tableau, NumPy, Python                                        ",MCA   ,Internship,51,67,4.5,AI              ,E-commerce,On Hold
59,Data Engineer      ,ByteWorks   ,Indore    ,1072900,2-5    ,"Tableau, Python, Machine Learning, SQL, Excel, NumPy          ",BSc   ,Internship,31,485,4.6,Business        ,IT        ,On Hold
60,ML Engineer        ,DataCorp    ,Hyderabad ,876500,3-6    ,"Azure, Python, Statistics, Pandas                             ",BCA   ,Internship,84,396,2.9,Data Engineering,IT        ,Closed 
61,Business Analyst   ,TechNova    ,Mumbai    ,819000,Fresher,"Power BI, Statistics, Tableau, Pandas                         ",BCA   ,Contract  ,4,89,3.2,IT              ,Retail    ,On Hold
68,BI Developer       ,SmartSoft   ,Delhi     ,887700,2-5    ,"Azure, SQL, Python, Statistics, Pandas                        ",M.Tech,Remote    ,106,139,3.0,Data Engineering,IT        ,Closed 
69,Data Analyst       ,AnalyticsHub,Bengaluru ,703600,0-2    ,"SQL, Tableau, NumPy, Statistics, Machine Learning, Power BI   ",BCA   ,Contract  ,74,167,2.8,Business        ,Retail    ,Open   
74,SQL Developer      ,AnalyticsHub,Mumbai    ,991500,3-6    ,"Tableau, SQL, Statistics, Azure, Pandas                       ",MCA   ,Internship,15,230,2.8,AI              ,IT        ,On Hold
75,Data Engineer      ,ByteWorks   ,Bengaluru ,882200,2-5    ,"Python, Excel, NumPy, Statistics                              ",MCA   ,Contract  ,173,306,2.6,AI              ,IT        ,Closed 
76,Data Engineer      ,DataCorp    ,Pune      ,1025300,1-3    ,"Statistics, Pandas, Tableau                                   ",BSc   ,Remote    ,33,304,4.3,Analytics       ,Healthcare,On Hold
80,BI Developer       ,DataCorp    ,Pune      ,711100,1-3    ,"NumPy, Machine Learning, SQL                                  ",MCA   ,Internship,111,46,4.9,IT              ,Retail    ,Closed 
82,Power BI Developer ,DataCorp    ,Bengaluru ,858600,0-2    ,"Power BI, NumPy, Statistics, Tableau, Python, Machine Learning",BSc   ,Full Time ,12,122,3.5,Data Engineering,Retail    ,Open   
83,Business Analyst   ,FutureAI    ,Delhi     ,665300,Fresher,"NumPy, Statistics, Python                                     ",M.Tech,Contract  ,61,292,3.5,Analytics       ,E-commerce,Closed 
84,Power BI Developer ,ByteWorks   ,Bengaluru ,1288600,5+     ,"Statistics, Azure, Python                                     ",B.Tech,Contract  ,17,176,3.1,Analytics       ,E-commerce,On Hold
87,BI Developer       ,ByteWorks   ,Bhopal    ,790500,Fresher,"NumPy, Machine Learning, Tableau, Pandas, Python, Excel       ",BSc   ,Contract  ,78,228,4.0,Business        ,Finance   ,On Hold
89,Business Analyst   ,SmartSoft   ,Mumbai    ,763000,1-3    ,"Excel, Machine Learning, Statistics                           ",MCA   ,Full Time ,146,70,3.8,Business        ,Healthcare,On Hold
90,BI Developer       ,FutureAI    ,Chennai   ,805600,0-2    ,"Excel, SQL, Python, Machine Learning, Statistics              ",M.Tech,Contract  ,177,469,5.0,IT              ,IT        ,Open   
92,BI Developer       ,VisionData  ,Chennai   ,956900,3-6    ,"Python, Machine Learning, Statistics, Excel, Tableau, SQL     ",MCA   ,Remote    ,147,37,2.8,AI              ,IT        ,Closed 
93,Power BI Developer ,TechNova    ,Bhopal    ,1127200,3-6    ,"Statistics, Machine Learning, Power BI, Pandas, Tableau, Azure",BCA   ,Contract  ,42,82,3.3,IT              ,Healthcare,On Hold
97,Data Engineer      ,ByteWorks   ,Hyderabad ,946800,Fresher,"SQL, Python, Tableau, Excel                                   ",BCA   ,Remote    ,131,239,3.7,AI              ,Retail    ,Open   
