Job_ID,Job_Title,Company,Location,Salary,Experience,Skills,Education,Job_Type,Posted_Days_Ago,Applicants,Rating,Department,Industry,Status
1,Data Scientist,VisionData,Indore,768106,Fresher,"Python, Tableau, Excel",B.Tech,Internship,59,258,4.0,Data Engineering,Finance,On Hold
2,Business Analyst,AnalyticsHub,Mumbai,,Fresher,"Excel, NumPy, Tableau, Pandas, Python, SQL",B.Tech,Remote,24,183,4.6,Data Engineering,Healthcare,Open
3,ML Engineer,DataCorp,PUNE,,5+,"Statistics, SQL, Pandas, Python, Tableau, Power BI",BCA,Contract,20,437,3.1,Analytics,Retail,Closed
4,Business Analyst,AnalyticsHub,Pune,1771823,2-5,"Machine Learning, Power BI, Azure, Statistics, SQL, Pandas",MCA,Contract,163,352,3.9,AI,IT,Open
5,ml engineer  ,SmartSoft,Delhi,,5+,"Machine Learning, Pandas, Tableau",MCA,Internship,67,71,3.1,Data Engineering,E-commerce,Closed
6,data scientist ,InsightIQ,Pune,1334977,,"Azure, Pandas, Machine Learning, SQL, Statistics, Tableau",,Remote,152,32,3.5,Data Engineering,Retail,On Hold
7,Data Scientist,FutureAI,Delhi,,0-2,"Statistics, Python, SQL, Machine Learning, Tableau",MCA,Full Time,67,497,3.8,IT,E-commerce,Open
8,Data Engineer,SmartSoft,Indore,1431159,Fresher,"Statistics, Excel, Power BI, NumPy, SQL",BSc,Contract,61,29,3.1,Data Engineering,IT,Open
9,ml engineer ,AnalyticsHub,Bengaluru,,2-5,"SQL, Statistics, Power BI, Azure, Machine Learning, Excel",,Contract,112,460,3.8,Analytics,Finance,Open
10,Data Analyst,AnalyticsHub, ,1534048,Fresher,"Machine Learning, Python, Excel",BSc,Full Time,131,121,3.2,Business,Finance,On Hold
11,Data Scientist,DataCorp,Delhi,15.1 LPA,1-3,"Azure, NumPy, Excel, Pandas",MCA,Remote,119,442,4.3,Analytics,IT,Closed
12,BI Developer,SmartSoft,Hyderabad,5.1 LPA,,"SQL, Excel, Statistics, Azure, Tableau",B.Tech,Remote,140,50,2.6,Data Engineering,IT,Open
13,business analyst ,VisionData,Indore,748260,2-5,"Power BI, Pandas, NumPy, Excel",BSc,Remote,73,216,4.2,Data Engineering,Retail,Open
14,Data Analyst,TechNova,Chennai,,3-6,"Tableau, Excel, Python, Azure",M.Tech,Internship,14,491,3.8,IT,IT,On Hold
15,Data Scientist,VisionData,Mumbai,1494695,1-3,"Excel, Pandas, SQL",BCA,Contract,61,135,3.5,AI,Retail,Closed
